,0
1938,247075060
1939,338301173
1940,89657590
1941,89002232
1942,684462331
1943,71176443
1944,32116991
1945,302780674
1946,224268547
1947,282988804
1948,221253892
1949,20451592
1950,424939785
1951,737939720
1952,455479563
1953,12194064
1954,283644179
1955,421531923
1956,263721237
1957,153096473
1958,510267681
1959,184160549
1960,519442729
1961,302387498
1962,11145515
1963,204214575
1964,222302525
1965,59117887
1966,236327234
1967,710676811
1968,188617040
1969,31461713
1970,425857363
1971,239735124
1972,330436950
1973,378147159
1974,182063448
1975,324145496
1976,470421850
1977,717492571
1978,69472604
1979,507253085
1980,12063068
1981,574230879
1982,113774941
1983,294654298
1984,45486436
1985,89526628
1986,370676085
1987,135270777
1988,101454202
1989,173150588
1990,219287932
1991,238293375
1992,153620865
1993,437916034
1994,5640584
1995,231477641
1996,370282891
1997,10883467
1998,27136405
1999,430838166
2000,41161111
2001,389288344
2002,68948382
2003,168300960
2004,76419489
2005,231739812
2006,470421924
2007,207622566
2008,433066408
2009,37622186
2010,157421995
2011,338170287
2012,247075256
2013,163713469
2014,374739390
2015,712118717
2016,49549762
2017,728633794
2018,377360836
2019,367268293
2020,101585347
2021,766382537
2022,47452618
2023,134353354
2024,325194188
2025,137368013
2026,123605454
2027,342102479
2028,457707982
2029,211947985
2030,165024210
2031,384831954
2032,22417873
2033,442241488
2034,235016663
2035,15995353
2036,73798107
2037,32641501
2038,111546848
2039,423760358
2040,337908199
2041,333451752
2042,466751983
2043,714871281
2044,92148210
2045,96604660
2046,282202613
2047,147329526
2048,214569465
2049,11145727
2050,457576960
2051,58069504
2052,21369349
2053,296751621
2054,440799751
2055,255988237
2056,8131092
2057,189927958
2058,312349208
2059,207753755
2060,40112674
2061,621416996
2062,245633572
2063,32117286
2064,138678824
2065,221647400
2066,23597610
2067,255332910
2068,294785583
2069,443552304
2070,186389041
2071,595857967
2072,193729078
2073,202641974
2074,92672568
2075,25301561
2076,120984125
2077,688263742
2078,69472831
2079,17175103
2080,508301890
2081,246288971
2082,18616909
2083,163844688
2084,462819928
2085,223351384
2086,517214810
2087,168956511
2088,397920
2089,183374433
2090,578032227
2091,156504678
2092,464261735
2093,632820330
2094,18879085
2095,63574640
2096,464786044
2097,393876093
2098,278794877
2099,5378687
2100,500437633
2101,467276424
2102,161223307
2103,12980881
2104,375001752
2105,282989210
2106,152834718
2107,22942371
2108,369234599
2109,233181864
2110,443290284
2111,5509806
2112,112595634
2113,1315508
2114,527438519
2115,687084215
2116,289804985
2117,96604861
2118,100668097
2119,346952386
2120,555356867
2121,603198149
2122,109580998
2123,195564236
2124,276173516
2125,329781966
2126,3281612
2127,267129557
2128,422449879
2129,67244761
2130,218239706
2131,412881627
2132,176165596
2133,108139233
2134,492442340
2135,407769828
2136,151786216
2137,65409770
2138,11277037
2139,289149678
